Luas Tanah (m²),Luas Bangunan (m²),Kamar Tidur,Kamar Mandi,Daerah_Balikpapan Barat,Daerah_Balikpapan Kota,Daerah_Balikpapan Selatan,Daerah_Balikpapan Tengah,Daerah_Balikpapan Timur,Daerah_Balikpapan Utara,Harga (IDR)
131,57,2,1,0,0,1,0,0,0,1300000000.0
154,150,3,2,0,0,0,0,0,1,1700000000.0
90,114,3,3,0,0,0,0,0,1,1700000000.0
72,66,3,2,0,0,0,0,0,1,830000000.0
120,100,3,2,0,0,0,0,1,0,930000000.0
72,66,3,2,0,0,0,0,0,1,820000000.0
120,52,2,2,0,0,1,0,0,0,650000000.0
72,40,2,1,0,0,1,0,0,0,680000000.0
252,117,3,4,0,0,0,0,0,1,3500000000.0
120,100,3,2,0,0,1,0,0,0,675000000.0
300,5,5,4,0,0,1,0,0,0,2300000000.0
112,144,3,4,0,0,1,0,0,0,1900000000.0
90,72,2,2,0,0,1,0,0,0,1200000000.0
153,75,2,2,0,1,0,0,0,0,800000000.0
331,102,3,2,0,1,0,0,0,0,850000000.0
276,150,3,2,0,0,1,0,0,0,3000000000.0
162,70,2,2,0,0,0,0,1,0,1200000000.0
98,140,3,3,0,0,0,0,1,0,1600000000.0
200,65,2,1,0,0,0,1,0,0,695000000.0
149,100,4,2,0,0,0,0,0,1,700000000.0
332,120,4,2,0,0,1,0,0,0,2700000000.0
60,120,2,2,0,0,1,0,0,0,850000000.0
280,225,4,4,0,0,1,0,0,0,3600000000.0
126,88,3,3,0,0,1,0,0,0,2150000000.0
180,220,5,4,0,0,0,0,0,1,1600000000.0
280,225,4,4,0,0,1,0,0,0,3800000000.0
127,107,4,2,0,0,1,0,0,0,1000000000.0
180,150,4,2,0,0,1,0,0,0,1900000000.0
222,160,3,3,0,0,1,0,0,0,2500000000.0
190,250,5,4,0,0,1,0,0,0,3400000000.0
95,160,3,2,0,0,1,0,0,0,2750000000.0
60,30,2,1,0,0,0,0,1,0,600000000.0
77,90,3,3,0,0,0,0,0,1,550000000.0
204,250,4,4,0,0,1,0,0,0,2100000000.0
285,106,5,3,0,0,0,0,1,0,1200000000.0
300,70,2,2,0,0,1,0,0,0,2500000000.0
117,85,4,2,0,0,1,0,0,0,875000000.0
140,98,3,3,0,0,0,0,1,0,1300000000.0
163,100,3,2,0,0,0,0,0,1,950000000.0
180,220,5,4,0,0,0,0,0,1,1400000000.0
91,175,3,3,0,0,0,0,0,1,1600000000.0
112,56,2,1,0,0,0,0,0,1,1700000000.0
300,200,5,3,0,0,1,0,0,0,2600000000.0
300,140,3,2,0,0,1,0,0,0,2500000000.0
248,182,4,3,0,1,0,0,0,0,1600000000.0
200,183,6,4,0,0,0,0,1,0,1600000000.0
156,72,2,2,0,0,0,0,1,0,880000000.0
105,91,3,2,0,0,0,0,1,0,1200000000.0
135,85,3,2,0,0,0,0,1,0,1500000000.0
126,135,3,2,0,0,1,0,0,0,2800000000.0
120,150,3,3,0,0,1,0,0,0,2250000000.0
190,300,5,4,0,0,0,0,0,1,3400000000.0
350,250,4,4,0,1,0,0,0,0,2200000000.0
340,200,4,3,0,0,1,0,0,0,2500000000.0
220,200,4,2,0,0,1,0,0,0,2900000000.0
135,200,3,3,0,0,1,0,0,0,1600000000.0
165,250,4,3,0,0,1,0,0,0,2550000000.0
246,300,4,4,0,0,1,0,0,0,3500000000.0
97,39,2,1,0,0,0,0,0,1,455000000.0
325,240,4,2,0,0,0,1,0,0,895000000.0
80,45,2,1,0,0,0,0,0,1,385000000.0
110,42,2,1,0,0,0,0,0,1,495000000.0
120,50,3,1,0,0,0,0,0,1,550000000.0
121,36,2,1,0,0,0,0,0,1,275000000.0
170,120,4,3,0,0,0,0,0,1,1500000000.0
87,36,2,1,0,0,0,0,0,1,430000000.0
120,50,3,1,0,0,0,0,0,1,395000000.0
78,45,2,1,0,0,0,0,0,1,500000000.0
78,45,2,1,0,0,1,0,0,0,500000000.0
96,36,2,1,0,0,0,0,0,1,395000000.0
102,36,2,1,0,0,1,0,0,0,459250000.0
107,36,2,1,0,0,0,0,0,1,383680000.0
90,75,3,2,0,0,1,0,0,0,690000000.0
120,45,2,1,0,0,0,0,0,1,475000000.0
84,36,2,1,0,0,0,0,1,0,385000000.0
160,36,2,1,0,0,0,0,0,1,250000000.0
119,119,2,1,0,0,1,0,0,0,650000000.0
180,210,4,3,0,0,1,0,0,0,2700000000.0
216,100,3,2,0,0,1,0,0,0,1600000000.0
150,120,3,2,0,0,1,0,0,0,950000000.0
90,90,2,2,0,0,1,0,0,0,1100000000.0
147,240,4,3,0,0,1,0,0,0,3300000000.0
78,47,2,2,0,0,1,0,0,0,1150000000.0
127,120,3,2,0,0,1,0,0,0,950000000.0
